I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
4391		1967	2	9	15	24	    	60	 6.8						 6.8	9	COLOMBIA		COLOMBIA:  HUILA, NEIVA, RIVERA,SAN ANTONIO	   2.900	  -74.900	160	      98	2					      20.000	3																
4394		1967	2	19	22	14	 35.3	80	 6.8		 6.8					9	INDONESIA		INDONESIA:  JAVA:  DAMPIT,GONDANG,TRENGGALEK	  -9.200	  113.100	170	      54	2			       300	3		3	2000	4	5000	4	      54	2			300	3		3	2000	4	5000	4
4396	Tsu	1967	4	11	5	9	 12.1	33	 5.5		 5.5						INDONESIA		INDONESIA:  MAKASSAR STRAIT	  -3.700	  119.300	170	      58	2			       100	2		2		2			      71	2			100	2		2		2		
4397	Tsu	1967	4	12	4	51	 50.2	100	 6.1		 6.1						INDONESIA		INDONESIA-MALAYSIA:  N SUMATERA,MALAY PENINSULA	   5.500	   97.300	170	      14	1						3	2000	4			      14	1						3	2000	4		
4398		1967	5	1	7	8	    	55	 5.9						 5.9		GREECE		GREECE	  39.500	   21.200	130	       9	1					       5.000	2																
4403		1967	7	22	16	57	    	4	 7.3						 7.3	10	TURKEY		TURKEY:  MUDURNU, ADAPAZARI	  40.700	   30.800	140	      86	2					       3.000	2																
4404		1967	7	26	18	53	    	8	 6.2						 6.2		TURKEY		TURKEY:  TUNCELI	  39.500	   40.400	140	      97	2						3																
4407		1967	7	29	10	24	 24.6	161	 6.8		 6.8						COLOMBIA		COLOMBIA	   6.800	  -73.000	160	      20	1						3																
4410	Tsu	1967	7	29	23	59	 58.7	10	 6.5		 6.5					8	VENEZUELA		VENEZUELA	  10.600	  -67.300	90	     300	3			      1536	4	     140.000	4					     300	3			1536	4	     140.000	4				
4416		1967	10	25	0	59	 22.6	65	 7.0		 7.0	 6.5					TAIWAN		TAIWAN:  HUALIEN	  24.500	  122.200	30	       2	1						2	23	1			       2	1						2	23	1		
4417		1967	11	30	7	23	    	29	 6.5						 6.5	10	ALBANIA		ALBANIA	  41.500	   20.500	130	      18	1					      20.000	3																
4421		1967	12	10	22	51	    	33	 6.5						 6.5	8	INDIA		INDIA	  17.700	   73.900	60	     180	3					        .400	1																
6630	Tsu	1967	12	21	2	25	 23.0	33	 7.5		 7.5						CHILE		CHILE:  NORTHERN	 -21.700	  -69.500	160	       1	1				3		2		2			       1	1				3		2		2		
4425		1968	1	15	2	1	  8.5	33	 6.0		 6.0						ITALY		ITALY:  SICILY	  37.900	   13.100	130	     216	3			       563	3	     320.000	4					     216	3			563	3	     320.000	4				
4428	Tsu	1968	2	19	22	45	 45.7	15	 7.2	 7.2	 7.5	 7.1				10	GREECE		GREECE:  AEGEAN SEA:  ST EUSTRATIOS	  39.368	   24.957	130	      20	1			        18	1	        .600	1	500	3	1951	4	      20	1			18	1	        .600	1	500	3	1951	4
4429		1968	2	21	1	45	    	3	 6.3						 6.3		JAPAN		JAPAN:  KYUSHU	  32.000	  130.600	30	       3	1						2																
4432	Tsu	1968	4	1	0	42	  4.2	30	 7.5		 7.5					7	JAPAN		JAPAN:  KYUSHU, SHIKOKU	  32.300	  132.500	30	       1	1			        22	1		2		2			       1	1			22	1		2		2		
4438	Tsu	1968	5	16	0	48	 55.4	7	 8.2	 8.2					 7.9	6	JAPAN		JAPAN:  OFF EAST COAST OF HONSHU ISLAND	  40.800	  143.200	30	      52	2			       330	3		3	689	3			      52	2			330	3	     131.000	4	1218	4		
4440		1968	5	23	17	24	    	21	 7.1						 7.1		NEW ZEALAND		NEW ZEALAND:  SOUTH ISLAND:  NW COAST	 -41.700	  172.000	170	       3	1					       3.000	2																
4445		1968	6	19	8	14	    	33	 7.0						 7.0		PERU		PERU:  SAN MARTIN,MOYOBAMBA,YANTALO,RIOJA,LAMAS	  -5.600	  -77.200	160	      15	1					        .100	1																
4448	Tsu	1968	8	1	20	19	 21.9	36	 7.3		 7.3						PHILIPPINES		PHILIPPINES:  LUZON:  MANILA	  16.500	  122.200	170	     270	3			       261	3	       8.000	3		1		3	     270	3			261	3	       8.000	3		1		3
4451		1968	8	2	14	6	    	36	 7.5						 7.5	7	MEXICO		MEXICO:  OAXACA, GUERRERO	  16.500	  -97.800	150	      18	1					       2.400	2																
4456		1968	8	31	10	47	 37.4	13	 7.3		 7.3					10	IRAN		IRAN:  DASHT-E-BAYAZ	  34.000	   59.000	140	   10488	4			     17000	4	      35.000	4	12000	4			   10488	4			17000	4	      35.000	4	12000	4		
4459		1968	9	1	7	27		15	 6.5		 6.5	 5.9					IRAN		IRAN:  FERDOW	  34.000	   58.200	140	     700	3						3	1500	4			     700	3						3	1500	4		
4460	Tsu	1968	9	3	8	19	 52.2	38	 6.6		 6.6					8	TURKEY		TURKEY:  BARTIN, AMASRA, CAKRAZ	  41.800	   32.300	140	      24	1			       200	3		3	2000	4	2000	4	      24	1			200	3		3	2000	4		
4463	Tsu	1968	9	20	6		    	107	 6.2						 6.2	9	VENEZUELA		VENEZUELA:  CARUPANO	  10.500	  -62.600	90	       3	1						2																
4465	Tsu	1968	9	25	10	38	    	114	 5.7						 5.7		MEXICO		MEXICO-GUATEMALA:  S CHIAPAS	  15.500	  -92.700	150	      20	1						2																
4471		1969	1	3	3	16	    	11	 5.6						 5.6	8	IRAN		IRAN:  NE KHURASAN PROVINCE	  37.100	   57.900	140	      50	1						2																
7972		1969	2	11	22	8	 54.0	10	 6.3		 6.3					7	CHINA		CHINA:  XINJIANG PROVINCE:  WUSHI	  41.450	   79.367	40	       4	1				1		3		3			       4	1				1		3		3		
4476	Tsu	1969	2	23	0	36	 56.6	13	 7.4		 7.4						INDONESIA		INDONESIA:  SULAWESI:  PARASANGA, PALETOANG	  -3.100	  118.900	170	      64	2			        97	2		3	1287	4			     664	3			97	2		3	1287	4		
4477	Tsu	1969	2	28	2	40	 32.5	22	 7.8	 7.8	 7.3					7	PORTUGAL		PORTUGAL; MOROCCO:  RABAT, SALE; SPAIN:  CANARY IS	  36.017	  -10.950	130	      13	1			        80	2		2					     113	1			80	2		2				
4482		1969	3	28	1	48	    	9	 6.5						 6.5		TURKEY		TURKEY:  ALASEHIR, SARIGOL, KIRAZ	  38.600	   28.400	140	      53	2						3																
4483		1969	3	29	9	15	 54.0	35	 6.2		 6.2	 6.0				9	ETHIOPIA		ETHIOPIA:  SARDO	  11.900	   41.210	10	      40	1			       160	3	        .320	1		3			      40	1			160	3	        .320	1		3		
4486	Tsu	1969	3	31	7	15	 54.4	33	 7.0		 7.0						EGYPT		EGYPT:  BENI-SOUEF, AL-QAHIRAH (CAIRO)	  27.700	   34.000	15	       2	1			        16	1		3	107	3			       2	1			16	1		3	107	3		
4487		1969	4	3	22	12	    	33	 5.5						 5.5		ALBANIA		ALBANIA:  SOUTHERN	  40.700	   19.800	130	       1	1						2																
4492		1969	7	25	22	49	 43.0	5	 6.4		 6.4					8	CHINA		CHINA:  GUANGDONG PROVINCE:  YANGJIANG COUNTY	  22.317	  111.800	30	    3000	4						4	10762	4			    3000	4						4	10762	4		
4495		1969	9	29	20	3	 32.8	33	 6.3		 6.3						SOUTH AFRICA		SOUTH AFRICA:  CAPE PROVINCE	 -32.900	   19.700	10	      12	1					      24.000	3					      12	1					      24.000	3				
4497		1969	10	1	5	5	    	43	 6.2						 6.2	11	PERU		PERU:  HUAYTAPALLANA, LAMPA, CHILIFRUTA	 -11.700	  -75.100	160	     150	3					       5.000	2																
4506		1969	10	26	15	36	    	33	 6.0						 6.0	8	BOSNIA-HERZEGOVINA		BALKANS NW:  BOSNIA-HERZEGOVINA:  BANJA LUKA	  44.900	   17.300	130	      14	1					      50.000	4																
4507		1969	10	27	8	10	    	33	 6.4						 6.4	9	BOSNIA-HERZEGOVINA		BALKANS NW:  BOSNIA-HERZEGOVINA:  KAKASI, JABLAN	  44.900	   17.200	130	       9	1						3																
4513		1970	1	4	17	0	 40.2	31	 7.8		 7.8					10	CHINA		CHINA:  YUNNAN PROVINCE; VIETNAM:  HANOI	  24.100	  102.500	30	   10000	4						3		3		3	   10000	4						3		3		
4515		1970	2	5	22	5	 58.3	11	 7.1		 7.1	 7.0					PHILIPPINES		PHILIPPINES:  LUZON, ROMBLON I; TABLAS I:  ODIONGAN	  12.600	  122.100	170	       3	1				2		2					       3	1				2		2				
4523		1970	3	28	21	2	 23.4	20	 7.4		 7.4	 7.0				10	TURKEY		TURKEY:  GEDIZ	  39.200	   29.500	140	    1086	4			      1174	4	      55.600	4	8229	4	8229	4	    1086	4			1174	4	      55.600	4	8229	4	5586	4
4526	Tsu	1970	4	7	5	34	  5.6	40	 7.3		 7.3	 6.5				6	PHILIPPINES		PHILIPPINES:  LUZON	  15.780	  121.710	170	      15	1			       200	3		2					      15	1			200	3		2				
4531	Tsu	1970	5	31	20	23	 27.3	43	 7.9	 7.9	 7.8					10	PERU		PERU: NORTHERN, PISCO, CHICLAYO	  -9.200	  -78.800	160	   66794	4			     50000	4	     530.000	4		3		3	   66794	4			50000	4	     530.000	4		3		
4543		1970	7	30	0	52	 19.5	16	 6.7		 6.7					8	IRAN		IRAN:  KARNAVEH, MAREV	  37.800	   55.900	140	     220	3			       220	3	       8.000	3	2000	4	2000	4	     176	3			483	3	       8.000	3	2000	4		
4544		1970	7	31	17	8	  5.4	651	 7.1		 7.1	 7.5					PERU		PERU:  JUIN  PROVINCE FELT ARGENTINA TO MEXICO CITY	  -1.500	  -72.600	160	       1	1				2		2					       1	1				2		2				
4550	Tsu	1970	10	31	17	53	  7.1	8	 7.3		 7.3	 7.1				8	PAPUA NEW GUINEA		PAPUA NEW GUINEA:  MADANG	  -4.907	  145.471	170	      15	1			        20	1	       1.750	2	800	3	800	3	      18	1			20	1	       1.750	2	800	3		
4551		1970	12	10	4	34	 38.8	25	 7.6		 7.6	 6.3				10	PERU		PERU:  N;  ECUADOR:  S	  -4.000	  -80.700	160	      82	2			       350	3	       6.000	3					      82	2			350	3	       6.000	3				
4558		1971	2	9	14	0	 41.8	8	 6.5		 6.5	 6.2	6.4			11	USA	CA	CALIFORNIA:  SAN FERNANDO	  34.412	 -118.400	150	      65	2			      2000	4	     505.000	4					      65	2			2000	4	     505.000	4				
4561		1971	4	12	19	3	 25.9	44	 5.9		 5.9	 6.0			 6.0		IRAN		IRAN:  TAZARJ,BARGHANY,MADANUIYEH,BARAFTAB,DARAGAH	  28.300	   55.600	140	       1	1						3																
4562		1971	5	12	6	25	 13.0	23	 5.9		 5.9	 5.5			 6.3	6	TURKEY		TURKEY:  BURDUR	  37.600	   29.800	140	     100	2				3		3																
6800		1971	5	22	16	43	 58.7	3	 6.7		 6.7	 6.0				8	TURKEY		TURKEY:  BINGOL	  38.800	   40.500	140	    1000	3				2	       5.000	2																
4570		1971	6	17	21		 40.9	93	 6.3			 6.3			 7.0	5	CHILE		CHILE:  CATALINA, ANTOFAGASTA	 -25.500	  -69.200	160	       1	1						2																
4572	Tsu	1971	7	9	3	3	 18.7	58	 7.8	 7.8	 7.5	 6.6				9	CHILE		CHILE:  CENTRAL	 -32.500	  -71.200	160	      83	2			       447	3	     236.400	4		3			      83	2			447	3	     236.400	4		3		
4574	Tsu	1971	7	14	6	11	 29.1	47	 7.9		 7.9					9	PAPUA NEW GUINEA		PAPUA NEW GUINEA:  NEW IRELAND: BOUGAINVILLE	  -5.500	  153.900	170	       2	1			         5	1		1					       3	1			5	1		1				
4578		1971	7	27	2	2	 49.6	135	 6.3			 6.3			 7.5	7	PERU		PERU-ECUADOR:  GUAYAQUIL	  -2.700	  -77.400	160	       1	1				2		2																
4584		1971	10	15	10	33	 46.7	54	 5.7			 5.7			 5.7	9	PERU		PERU:  APURIMAC	 -14.100	  -73.300	160	       5	1						3																
4586		1971	10	27	17	58	 36.9	40	 7.1		 7.1	 6.0			 7.1	7	VANUATU		VANUATU ISLANDS:  ESPIRITU SANTO, PORT VILA	 -15.500	  167.200	170	       1	1				2		3																
4590	Tsu	1972	1	25	2	6	 23.3	33	 7.5		 7.5	 6.3				6	TAIWAN		TAIWAN	  22.500	  122.300	30	       1	1						1	5	1			       1	1						1	5	1		
4596		1972	3	20	7	33	 49.6	64	 6.1			 6.1			 6.9	9	PERU		PERU:  JUANJUI	  -6.800	  -76.800	160	       7	1			        50	1	      20.000	3																
4600		1972	4	10	2	6	 53.2	11	 6.9		 6.9	 6.1				9	IRAN		IRAN:  QIR,KARZIN, JAHROM, FIRUZABAD	  28.400	   52.800	140	   30000	4			      1700	4		4		4			   30000	4			1700	4		4		4		
4603		1972	4	24	9	57	 21.7	33	 6.9		 6.9	 6.0				5	TAIWAN		TAIWAN:  HUALIEN	  23.600	  121.600	30	       4	1			        11	1		2					       4	1			11	1		2				
4607		1972	6	24	15	29	 22.2	47	 6.1		 6.1	 6.0			 6.6	6	AFGHANISTAN		AFGHANISTAN:  HINDU KUSH:  SARSANGI, NARIN COUNTIES	  36.200	   69.700	40	      11	1			        15	1		2		3		3												
4610		1972	9	3	16	48	 28.8	36	 6.2		 6.2	 6.3			 6.5		PAKISTAN		PAKISTAN:  TANGIR, GUPIS, RAWALPINDI, PESHAWAR	  36.000	   73.400	60	     100	2						3	1000	3	1000	3												
4619		1972	12	23	6	29	 42.5	5	 6.2		 6.2	 5.6					NICARAGUA		NICARAGUA:  MANAGUA	  12.400	  -86.100	100	   10000	4			     20000	4	    2968.000	4					   10000	4			20000	4	    2968.000	4				
4622	Tsu	1973	1	30	21	1	 12.5	43	 7.5		 7.5	 6.2					MEXICO		MEXICO:  S, FARIAS, TECOMAN	  18.480	 -103.000	150	      56	2			       390	3		2		2			      56	2			390	3		2		2		
4632	Tsu	1973	3	17	8	30	 51.8	33	 7.5		 7.5	 5.6				9	PHILIPPINES		PHILIPPINES:  QUEZON CITY:  CALAUG,LOPEZ,GUIAYANGAN	  13.400	  122.800	170	      15	1			        64	2	        .450	1					      15	1			64	2	        .450	1				
4634		1973	4	14	8	34	   .1	33	 6.5		 6.5	 5.7					COSTA RICA		COSTA RICA: TILARAN, ARENAL, RIO CHIQUITO	  10.679	  -84.759	100	      26	1			       100	2	        .200	1					      26	1			100	2	        .200	1				
4636		1973	4	24	21	30	  9.9	50	 6.5		 6.5	 6.3					COLOMBIA		COLOMBIA; SAN CRISTOBAL, VENEZUELA	   4.956	  -78.144	160	       1	1						2					       1	1						2				
4642		1973	8	28	9	50	 40.0	84	 6.2			 6.2			 7.2	7	MEXICO		MEXICO:  VERACRUZ, MEXICO CITY	  18.270	  -96.600	150	     600	3						3																
4648		1973	11	11	7	14	 51.5	11	 5.5		 5.5				 5.5		IRAN		IRAN:  QESHLAGH,DEH BID	  30.570	   52.890	140	       1	1						3																
4653		1974	1	5	8	33	 50.7	98	 6.3			 6.3			 6.6		PERU		PERU:  LIMA, YAUYOS	 -12.300	  -76.350	160	      10	1				3		3					      10	1				3		3				
4656	Tsu	1974	5	8	23	33	 25.2	2	 6.5		 6.5	 6.0				9	JAPAN		JAPAN:  NAKAGI	  34.500	  138.700	30	      30	1			       102	3		2	134	3			      27	1			102	3		2	134	3		
4658		1974	5	10	19	25	 15.0	11	 7.1		 7.1	 6.2					CHINA		CHINA:  YUNNAN AND SICHUAN PROVINCES, CHAO-T'UNG	  28.240	  104.010	30	   20000	4						3		3			   20000	4						3		3		
4659		1974	6	12	16	25	 47.6	34	 6.1		 6.1	 5.7			 6.1		VENEZUELA		VENEZUELA	  10.560	  -63.380	160	       5	1					       2.500	2																
4663		1974	7	13	1	18	 22.8	12	 7.3		 7.3	 6.4			 7.3		COLOMBIA		COLOMBIA: BOGOTA, CALI, PEREIRA	   7.750	  -77.690	160	      11	1						1																
4664		1974	8	3	18	16	 34.0	58	 5.7			 5.7			 5.8	6	JAPAN		JAPAN:  HONSHU:  KAKIOTA,  MITO, TOKYO	  36.000	  139.820	30	       2	1			        17	1		2																
4666	Tsu	1974	10	3	14	21	 29.1	13	 8.1	 8.1	 7.6	 6.6				9	PERU		PERU:  LIMA, CALLAO	 -12.270	  -77.790	160	      78	2			      2414	4	      10.000	3		3			      78	2			2414	4	      10.000	3		3		
4671	Tsu	1974	12	28	12	11	 43.7	22	 6.2		 6.2	 6.0				7	PAKISTAN		PAKISTAN:  BALAKOT, PATAN	  35.100	   72.900	60	    5300	4			     17000	4	       3.255	2		3		3	    5300	4			17000	4	       3.255	2		3		
4677		1975	1	19	8	2	  2.5	33	 6.8		 6.8	 6.2					INDIA		INDIA:  KASHMIR:   KINNAUR DISTRICT	  32.460	   78.430	60	      47	1						2					      47	1						2				
4681		1975	2	4	11	36	  7.5	33	 7.4		 7.4	 6.4				10	CHINA		CHINA:  LIAONING PROVINCE:  YINGTAO, ANSHAN	  40.640	  122.580	30	     300	3						4		4			     300	3						4		4		
4683		1975	2	9	4	45	 24.5	27	 5.6		 5.6	 5.2				8	INDONESIA		INDONESIA:  JAVA	  -6.700	  106.700	170	       1	1						2					       1	1						2				
4684		1975	3	7	7	4	 42.6	27	 6.1		 6.1				 6.1		IRAN		IRAN:  SARKHUN,QALEH QAZI,QADHAD,NONG-E-BALA	  27.500	   56.260	140	       7	1						2																
6447	Tsu	1975	3	13	15	26	 42.5	4	 6.9		 6.9	 6.2				8	CHILE		CHILE:  COQUIMBO, LA SERENA	 -29.900	  -71.300	160	       2	1			        25	1		1					       2	1			25	1		1				
4688		1975	4	5	9	34	 36.6	33	 6.1		 6.1	 5.6			 6.3		VENEZUELA		VENEZUELA	  10.040	  -69.750	160	       3	1					       1.200	2																
4692		1975	7	8	12	4	 42.4	157	 6.5			 6.5			 6.8		MYANMAR (BURMA)		MYANMAR (BURMA):  PAGAN	  21.490	   94.700	60	       1	1					       1.000	2																
4697		1975	9	6	9	20	 10.9	26	 6.7		 6.7	 6.1				9	TURKEY		TURKEY:  LICE	  38.474	   40.723	140	    2311	4			      3372	4	      17.000	3					    2311	4			3372	4						
4703	Tsu	1975	10	31	8	28	  2.6	50	 7.6		 7.6	 6.4				6	PHILIPPINES		PHILIPPINES	  12.540	  125.993	170	       1	1											       1	1						1	30	1		
4706		1975	12	31	9	45	 47.7	19	 5.5		 5.5	 5.4				9	GREECE		GREECE:  KATO-MAKRINOU	  38.628	   21.798	130	       1	1			        10	1		3					       1	1			10	1		3				
4711	Tsu	1976	2	4	9	1	 43.4	5	 7.5		 7.5	 6.2				9	GUATEMALA		GUATEMALA:  CHIMALTENANGO, GUATEMALA CITY	  15.324	  -89.101	90	   23000	4			     76000	4	    2147.000	4					   23000	4			76000	4	    2147.000	4				
4715		1976	3	19	13	3	 38.4	33	 5.5		 5.5	 5.6			 5.5	8	AFGHANISTAN		AFGHANISTAN:  HINDU-KUSH:  SHAMAGAN PROVINCE	  36.610	   67.790	40	      50	1						3																
4718		1976	4	9	7	8	 47.0	9	 6.7		 6.7				 6.7		ECUADOR		ECUADOR:  ESMERALDOS	    .780	  -79.800	160	      10	1					       4.000	2																
4719		1976	4	29	22	18	  9.1	44	 5.5		 5.5	 5.0			 5.5		TURKEY		TURKEY	  40.890	   42.850	140	       4	1						2																
4720		1976	5	6	20	0	 11.6	9	 6.5		 6.5	 6.0				10	ITALY		ITALY:  NE, BALKANS NW:   SLOVENIA: NW	  46.356	   13.275	130	     978	3			      1700	4	    3600.000	4					     978	3			1700	4	    3600.000	4				
4729		1976	6	25	19	18	 56.9	33	 7.1		 7.1	 6.1					INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA	  -4.603	  140.091	170	    6000	4						3					    6000	4						3				
4731		1976	7	14	7	13	 24.0	40	 6.5		 6.5	 6.2					INDONESIA		INDONESIA:  BALI	  -8.170	  114.888	170	     573	3			      4755	4	     195.000	4					     573	3			4755	4	     195.000	4				
4735		1976	7	27	19	42	 54.6	23	 7.5	 7.5	 7.9	 6.3				11	CHINA		CHINA:  NE:  TANGSHAN	  39.570	  117.980	30	  242769	4			    799000	4	    5600.000	4					  242769	4			799000	4	    5600.000	4				
4739	Tsu	1976	8	16	16	11	  7.3	33	 8.0	 8.0	 7.9	 6.4				6	PHILIPPINES		PHILIPPINES:  MINDANAO:  S	   6.292	  124.090	170	    1200	4			      3500	4	     134.000	4					    8000	4			10000	4	     134.000	4				
4742		1976	9	11	16	31	 12.0	16	 5.5		 5.5	 5.2				7	ITALY		ITALY:  NORTHEASTERN	  46.280	   13.157	130	       5	1				2		2					       5	1				2		2				
4743		1976	9	15	3	15	 19.9	10	 6.0		 6.0	 5.7				9	ITALY		ITALY:  NORTHEASTERN	  46.302	   13.197	130	      11	1				2		2					      11	1				2		2				
4744		1976	9	15	9	21	 19.1	17	 5.9		 5.9	 5.4			 6.5	9	ITALY		ITALY-BALKANS NW	  46.320	   13.130	130	       2	1						2																
4746		1976	10	29	2	51	  7.6	33	 7.1		 7.1	 6.1				8	INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAYAWIJAYA	  -4.517	  139.918	170	     133	3						1				1	     133	3						1				1
4748		1976	11	7	4	0	 51.6	13	 6.2		 6.2	 5.6			 6.2	8	IRAN		IRAN:  KHORASAN PROVINCE	  33.800	   59.150	140	      17	1						3																
4752		1976	11	24	12	22	 18.8	36	 7.3		 7.3	 6.1			 7.3	10	TURKEY		TURKEY:  MURADIYE	  39.120	   44.030	140	    5000	4					      60.000	4																
